recipeid;row;text
5;3;Fisksoppa: Dela, kärna ur och skär paprikan i små tärningar. Skala och tärna moroten. Fräs paprika och morot i oljan i en kastrull eller gryta och pressa i vitlöken. Tillsätt fiskbuljong, passerade tomater och paprikapulver. Koka upp och låt soppan koka, med lock, tills morötterna är mjuka.
5;4;Citronmajonnäs: Pressa vitlöken i majonnäsen och smaksätt med salt, peppar, citronskal och lite pressad citronsaft.
5;5;Fisksoppa: Häll av räkorna i en sil. Skär fisken i bitar och lägg i soppan. Låt sjuda ca 5 minuter. Hacka gräslöken och vänd ner.
5;6;Rör ner räkorna i soppan och dra av från värmen.
5;7;Servera soppan med potatisen och majonnäsen.
6;1;Sätt ugnen på 175°C.
6;2;Koka riset enligt anvisningen på förpackningen.
6;3;Kotletter: Stek kotletterna i oljan i en stekpanna, krydda med salt och peppar. Lägg kotletterna i en ugnsform och pensla på glazen. Stek köttet klart mitt i ugnen ca 12 minuter.
6;4;Majssalsa: Låt majsen rinna av i en sil. Dela, kärna ur och gröp ur avokadorna. Skär avokadoköttet i tärningar. Ansa och skiva salladslöken. Dela, kärna ur och hacka chilin och blanda med salladslök och avokado. Ringla över oljan och smaka av med salt, peppar och pressad limesaft.
6;5;Servera kotletterna med majssalsa, koriander och ris.
7;1;Tina sojabönorna.
7;2;Koka pastan enligt anvisningen på förpackningen.
7;3;Skala långa remsor av zucchinin med en potatisskalare och lägg dem och sojabönorna i ett durkslag.
7;4;Häll av spadet från paprikan och mixa den med mandeln, pressad vitlök, vattnet och olivoljan i en matberedare. Smaka av med vinäger, salt och peppar.
7;5;Ansa och skiva salladslöken tunt. Skär tomaterna i halvor och häll av oliverna. Blanda salladslöken med oliverna, tomaterna och salladen.
7;6;Häll av pastan över zucchiniremsorna och bönorna i durkslaget och häll sedan tillbaka pastan och zucchinin i kastrullen. Blanda paprikaröran med pastan.
7;7;Servera pastan med salladen.
8;1;Majskräm: Tina majsen.
8;2;Sätt ugnen på 225°C och sätt in en långpanna.
8;3;Rostad potatis: Skär potatisen i klyftor. Dela, kärna ur och skär paprikorna i stora bitar. Blanda potatis och paprika med oljan. Krydda med salt och peppar.
8;4;Häll ut grönsakerna i den varma långpannan och rosta mitt i ugnen tills potatisen är mjuk, ca 25 minuter.
8;5;Kyckling: Bryn kycklingen i smöret i en stekpanna, krydda med spiskummin, salt och peppar. Lägg kycklingen på långpannan och stek den tillsammans med potatisen de sista 8 minuterna på potatistiden.
8;6;Majskräm: Stek majsen i oljan i en stekpanna. Pressa i vitlöken.
8;7;Blanda majsstärkelsen med mjölken och rör ner i stekpannan. Rör tills det tjocknar lite. Tillsätt osten och låt den smälta, smaksätt med salt och rikligt med peppar.
8;8;Skär salladen i bitar och ansa och skär salladslöken i tunna skivor.
8;9;Servera kycklingen med sallad, majskärm och ugnsrostad paprika och potatis. Strö över salladslöken.
9;1;Koka pastan enligt anvisningen på förpackningen.
9;2;Dela, kärna ur och gröp ur avokadorna. Mosa ihop avokadoköttet och pressa i vitlöken.
9;3;Dela och kärna ur chilin, hacka den fint och blanda ned i avokadoröran.
9;4;Hacka koriandern och rör ned den och oljan. Smaka av med limesaft, spiskummin, salt och peppar.
9;5;Sallad: Häll bönorna i ett durkslag, spola dem i kallt vatten och låt rinna av. Dela, kärna ur och skär paprikan i bitar. Ansa och skiva salladslöken. Dela tomaterna.
9;6;Blanda grönsaker, bönor och pumpakärnor med olivolja och vinäger.
9;7;Blanda pastan med avokadoröran och servera med bönsalladen.
10;1;Sätt ugnen på 225˚C.
10;2;Färssås: Skala och hacka löken. Stek löken i oljan i en stekpanna tillsammans med färsen. Krydda med salt, peppar och timjan.
10;3;Blanda majsstärkelsen med mjölken och rör ner i pannan tillsammans med sojan. Låt koka någon minut.
10;4;Tomatsås: Koka upp passerade tomater med paprikapulver och smulad buljongtärning.
10;5;Varva lasagneplattorna med färssåsen och tomatsåsen i en ugnsform. Toppa med tomatsås och strö över ost. Sätt in formen mitt i ugnen ca 25 minuter eller tills plattorna är mjuka.
10;6;Skär salladen i bitar och servera med lasagnen.
11;1;Koka riset enligt anvisningen på förpackningen.
11;2;Ansa, skölj och skiva pak choi tunt. Pressa över saft från limen och krydda med salt och peppar.
11;3;Skär bort skinnet på laxen och skär den i portionsbitar. Stek fisken i oljan i en stekpanna, ca 3 minuter på varje sida eller tills fisken har en innertemperatur på 56°C. Häll i teriyakimarinaden och låt sjuda någon minut.
11;4;Servera laxen med ris och pak choi.
12;1;Sätt på en kastrull med vatten till pastan som också rymmer broccolin.
12;2;Ansa broccolin och skala och skär stammen i skivor och toppen i buketter.
12;3;Koka pastan enligt anvisningen på förpackningen.
12;4;Koka broccolin tillsammans med spaghettin de sista 3 minuterna på pastans koktid.
12;5;Koka upp crème fraiche och mjölk i en kastrull. Mixa i kronärtskockskrämen med en mixerstav. Smaka av med salt och peppar.
12;6;Servera pastan med sås, lufttorkad skinka och sallad.
13;1;Skala och skär potatisen i ca 1x1 cm stora tärningar. Lägg dem i en bunke. Skölj potatisen i rinnande kallt vatten ca 5 minuter, rör om då och då så att stärkelsen sköljs bort. Häll potatisen i ett durkslag och låt den rinna av ordentligt.
13;2;Skala och hacka löken. Skär köttet/korven i ca 1x1 cm stora tärningar.
13;3;Stek potatisen i omgångar i en blandning av olja och smör tills den är mjuk och har fin färg. Smaksätt med salt och peppar. Tillsätt löken och stek med den några minuter. Tillsätt därefter köttet/korv och stek med det några minuter. Smaka ev. av med mer salt och peppar.
13;4;Hacka persiljan och strö över den.
13;5;Till servering: Servera pytten med ägg, rödbetor och saltgurka.
14;1;Koka riset enligt anvisningen på förpackningen.
14;2;Dipp: Koka upp vattnet. Dra av kastrullen från värmen och blanda ner jordnötssmör, sweet chilisås och soja. Låt svalna.
14;3;Vårrullar: Skär tofun i stavar. Skala morötterna och skär i tunna strimlor. Dela, kärna ur och gröp ur avokadorna, skiva dem. Ansa och skiva salladslöken. Lägg upp alla grönsaker och koriander på ett serveringsfat.
14;4;Vid bordet: Sätt fram en stor skål med ljummet vatten på bordet. Var och en doppar sitt eget rispapper i vattnet ca 30 sekunder. Lyft upp, låt droppa av och lägg det på tallriken. Lägg på grönsakerna och sesamfrö och vik ihop till en rulle.
14;5;Servera rullarna med dipp och ris.
15;1;Dillpicklad gurka: Skiva gurkan och lägg i en burk. Rör ihop ättika, socker, vatten och dill tills sockret löses upp. Blanda med gurkan. Låt gurkan dra i kylen minst 1 timme innan servering.
15;2;Potatiskakor: Tvätta eller skala potatisen. Skär i bitar eller halvor om de är små. Koka mjuk i saltat vatten. Skala och finhacka rödlöken. Plocka och hacka bladen av dragonen. Vispa ihop senap, vinäger, salt, peppar och olja. Mosa ihop potatisen grovt med dressing, lök och dragon med en potatisstöt eller träslev. Forma till 12 biffar med händerna (för 4 port), ca 2 cm tjocka.
15;3;Kantareller: Skala och finhacka vitlöksklyftan. Stek kantarellerna i olja tills de släppt vätskan. Tillsätt vitlök, salt och peppar och stek tills svampen är gyllene.
15;4;Pepparrotskräm: Blanda fraiche eller matyoghurt med riven pepparrot och salt.
15;5;Stek potatiskakorna i olja i en stor panna på medelvärme tills krispiga och gyllene, ca 2–3 minuter på varje sida. Servera potatiskakorna med pepparrotskrämen, de stekta kantarellerna och dillpicklad gurka.
16;1;Koka riset enligt anvisningen på förpackningen.
16;2;Skölj linserna och låt dem rinna av.
16;3;Skala och hacka den gula löken. Skala och riv ingefäran.
16;4;Fräs den gula löken och sambal i olja i en stor kastrull. Pressa ner vitlök och rör i ingefära, curry och tomatpuré. Tillsätt linser, buljong och kokosmjölk. Koka upp under omrörning och sjud ca 10 minuter under lock.
16;5;Skär blomkålen i mindre bitar. Lägg ner dem i kastrullen och koka ytterligare ca 10 minuter.
16;6;Skär tomaterna i halvor och limen i klyftor.
16;7;Smaka av med salt och peppar och vänd ner spenat och tomater.
16;8;Servera linscurryn med ris, nötter och limeklyftor.
